,Year,Type of Offence,UNIT,VALUE
244,2003,Dangerous driving causing serious bodily harm,Number,3.0
245,2003,Driving/in charge of a vehicle while over legal alcohol limit,Number,3096.0
246,2003,Driving/in charge of a vehicle under the influence of drugs,Number,19.0
247,2003,Endangerment with potential for serious harm/death,Number,11.0
248,2003,"Abandoning a child, child neglect and cruelty",Number,34.0
249,2003,Unseaworthy/dangerous use of boat or ship,Number,0.0
250,2003,False alarm/interference with aircraft or air transport facilities,Number,2.0
251,2003,Endangering traffic offences,Number,42.0
252,2003,Kidnapping and related offences,Number,14.0
253,2003,False imprisonment,Number,8.0
254,2003,Abduction of person under 16 years of age,Number,6.0
255,2003,Human trafficking offences,Number,0.0
256,2003,"Robbery, extortion and hijacking offences",Number,673.0
257,2003,Robbery of an establishment or institution,Number,226.0
258,2003,Robbery of cash or goods in transit,Number,11.0
259,2003,Robbery from the person,Number,395.0
260,2003,Blackmail or extortion,Number,3.0
261,2003,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,38.0
262,2003,Burglary and related offences,Number,6662.0
263,2003,Aggravated burglary,Number,82.0
264,2003,Burglary (not aggravated),Number,6535.0
265,2003,"Possession of an article (with intent to burgle, steal, demand)",Number,45.0
266,2003,Theft and related offences,Number,17222.0
267,2003,Theft/taking of vehicle and related offences,Number,3142.0
268,2003,Theft from person,Number,1605.0
269,2003,Theft from shop,Number,4047.0
270,2003,"Other thefts, handling stolen property",Number,8428.0
271,2003,"Fraud, deception and related offences",Number,862.0
272,2003,Controlled drug offences,Number,2318.0
273,2003,Importation of drugs,Number,12.0
274,2003,Cultivation or manufacture of drugs,Number,13.0
275,2003,Possession of drugs for sale or supply,Number,499.0
276,2003,Possession of drugs for personal use,Number,1709.0
277,2003,Other drug offences,Number,85.0
278,2003,Weapons and Explosives Offences,Number,467.0
279,2003,"Explosives, chemical weapons offences",Number,37.0
280,2003,Discharging a firearm,Number,55.0
281,2003,Possession of a firearm,Number,90.0
282,2003,Offensive weapons offences (n.e.c.),Number,285.0
283,2003,Fireworks offences,Number,0.0
284,2003,Damage to property and to the environment,Number,8507.0
285,2003,Arson,Number,368.0
286,2003,Criminal damage (not arson),Number,8117.0
287,2003,Litter offences,Number,22.0
288,2003,Public order and other social code offences,Number,12336.0
289,2003,Disorderly conduct,Number,9931.0
290,2003,Trespass offences,Number,332.0
291,2003,Liquor licensing offences,Number,1624.0
292,2003,Prostitution offences,Number,33.0
293,2003,"Regulated betting/money, collection/trading offences",Number,108.0
294,2003,Social code offences (n.e.c.),Number,308.0
295,2003,"Offences against government, justice procedures and organisation of crime",Number,1722.0
296,2003,Offences against government and its agents,Number,44.0
297,2003,Organisation of crime and conspiracy to commit crime,Number,2.0
298,2003,Perverting the course of justice,Number,60.0
299,2003,"Offences while in custody, breach of court orders",Number,1616.0
300,2004,Homicide offences,Number,28.0
301,2004,Murder,Number,6.0
302,2004,Manslaughter,Number,5.0
303,2004,Infanticide,Number,0.0
304,2004,Dangerous driving leading to death,Number,17.0
305,2004,Sexual offences,Number,533.0
306,2004,Rape of a male or female,Number,130.0
307,2004,Defilement of a boy or girl less than 17 years old,Number,39.0
308,2004,Sexual offence involving mentally impaired person,Number,6.0
309,2004,Aggravated sexual assault,Number,5.0
310,2004,Sexual assault (not aggravated),Number,331.0
311,2004,Other sexual offences,Number,22.0
312,2004,"Attempts/threats to murder, assaults, harassments and related offences",Number,3467.0
313,2004,Murder-attempt,Number,0.0
314,2004,Threat to kill or cause serious harm,Number,10.0
315,2004,Harassment and related offences,Number,297.0
316,2004,"Assault causing harm, poisoning",Number,1074.0
317,2004,Other assault,Number,2086.0
318,2004,Dangerous or negligent acts,Number,2805.0
319,2004,Dangerous driving causing serious bodily harm,Number,13.0
320,2004,Driving/in charge of a vehicle while over legal alcohol limit,Number,2676.0
321,2004,Driving/in charge of a vehicle under the influence of drugs,Number,16.0
322,2004,Endangerment with potential for serious harm/death,Number,21.0
323,2004,"Abandoning a child, child neglect and cruelty",Number,41.0
324,2004,Unseaworthy/dangerous use of boat or ship,Number,0.0
325,2004,False alarm/interference with aircraft or air transport facilities,Number,5.0
326,2004,Endangering traffic offences,Number,33.0
327,2004,Kidnapping and related offences,Number,24.0
328,2004,False imprisonment,Number,17.0
329,2004,Abduction of person under 16 years of age,Number,7.0
330,2004,Human trafficking offences,Number,0.0
331,2004,"Robbery, extortion and hijacking offences",Number,774.0
332,2004,Robbery of an establishment or institution,Number,282.0
333,2004,Robbery of cash or goods in transit,Number,22.0
334,2004,Robbery from the person,Number,442.0
335,2004,Blackmail or extortion,Number,6.0
336,2004,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,22.0
337,2004,Burglary and related offences,Number,7015.0
338,2004,Aggravated burglary,Number,80.0
339,2004,Burglary (not aggravated),Number,6875.0
340,2004,"Possession of an article (with intent to burgle, steal, demand)",Number,60.0
341,2004,Theft and related offences,Number,18618.0
342,2004,Theft/taking of vehicle and related offences,Number,3882.0
343,2004,Theft from person,Number,1559.0
344,2004,Theft from shop,Number,3862.0
345,2004,"Other thefts, handling stolen property",Number,9315.0
346,2004,"Fraud, deception and related offences",Number,981.0
347,2004,Controlled drug offences,Number,2237.0
348,2004,Importation of drugs,Number,7.0
349,2004,Cultivation or manufacture of drugs,Number,4.0
350,2004,Possession of drugs for sale or supply,Number,511.0
351,2004,Possession of drugs for personal use,Number,1583.0
352,2004,Other drug offences,Number,132.0
353,2004,Weapons and Explosives Offences,Number,584.0
354,2004,"Explosives, chemical weapons offences",Number,2.0
355,2004,Discharging a firearm,Number,83.0
356,2004,Possession of a firearm,Number,120.0
357,2004,Offensive weapons offences (n.e.c.),Number,379.0
358,2004,Fireworks offences,Number,0.0
359,2004,Damage to property and to the environment,Number,9751.0
360,2004,Arson,Number,356.0
361,2004,Criminal damage (not arson),Number,9357.0
362,2004,Litter offences,Number,38.0
363,2004,Public order and other social code offences,Number,10602.0
364,2004,Disorderly conduct,Number,8749.0
365,2004,Trespass offences,Number,320.0
366,2004,Liquor licensing offences,Number,1249.0
367,2004,Prostitution offences,Number,59.0
368,2004,"Regulated betting/money, collection/trading offences",Number,37.0
369,2004,Social code offences (n.e.c.),Number,188.0
370,2004,"Offences against government, justice procedures and organisation of crime",Number,1783.0
371,2004,Offences against government and its agents,Number,49.0
372,2004,Organisation of crime and conspiracy to commit crime,Number,7.0
373,2004,Perverting the course of justice,Number,59.0
374,2004,"Offences while in custody, breach of court orders",Number,1668.0
375,2004,Homicide offences,Number,33.0
376,2004,Murder,Number,9.0
377,2004,Manslaughter,Number,3.0
378,2004,Infanticide,Number,0.0
379,2004,Dangerous driving leading to death,Number,21.0
380,2004,Sexual offences,Number,354.0
381,2004,Rape of a male or female,Number,99.0
382,2004,Defilement of a boy or girl less than 17 years old,Number,35.0
383,2004,Sexual offence involving mentally impaired person,Number,6.0
384,2004,Aggravated sexual assault,Number,5.0
385,2004,Sexual assault (not aggravated),Number,179.0
386,2004,Other sexual offences,Number,30.0
387,2004,"Attempts/threats to murder, assaults, harassments and related offences",Number,3281.0
388,2004,Murder-attempt,Number,0.0
389,2004,Threat to kill or cause serious harm,Number,11.0
390,2004,Harassment and related offences,Number,256.0
391,2004,"Assault causing harm, poisoning",Number,928.0
392,2004,Other assault,Number,2086.0
393,2004,Dangerous or negligent acts,Number,2994.0
394,2004,Dangerous driving causing serious bodily harm,Number,6.0
395,2004,Driving/in charge of a vehicle while over legal alcohol limit,Number,2849.0
396,2004,Driving/in charge of a vehicle under the influence of drugs,Number,24.0
397,2004,Endangerment with potential for serious harm/death,Number,22.0
398,2004,"Abandoning a child, child neglect and cruelty",Number,55.0
399,2004,Unseaworthy/dangerous use of boat or ship,Number,0.0
400,2004,False alarm/interference with aircraft or air transport facilities,Number,5.0
401,2004,Endangering traffic offences,Number,33.0
402,2004,Kidnapping and related offences,Number,17.0
403,2004,False imprisonment,Number,16.0
404,2004,Abduction of person under 16 years of age,Number,1.0
405,2004,Human trafficking offences,Number,0.0
406,2004,"Robbery, extortion and hijacking offences",Number,683.0
407,2004,Robbery of an establishment or institution,Number,232.0
408,2004,Robbery of cash or goods in transit,Number,15.0
409,2004,Robbery from the person,Number,416.0
410,2004,Blackmail or extortion,Number,2.0
411,2004,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,18.0
412,2004,Burglary and related offences,Number,5604.0
