,Year,Type of Offence,UNIT,VALUE
4613,2018,Aggravated burglary,Number,64.0
4614,2018,Burglary (not aggravated),Number,3852.0
4615,2018,"Possession of an article (with intent to burgle, steal, demand)",Number,79.0
4616,2018,Theft and related offences,Number,16615.0
4617,2018,Theft/taking of vehicle and related offences,Number,1094.0
4618,2018,Theft from person,Number,1212.0
4619,2018,Theft from shop,Number,6072.0
4620,2018,"Other thefts, handling stolen property",Number,8237.0
4621,2018,"Fraud, deception and related offences",Number,1525.0
4622,2018,Controlled drug offences,Number,5340.0
4623,2018,Importation of drugs,Number,3.0
4624,2018,Cultivation or manufacture of drugs,Number,51.0
4625,2018,Possession of drugs for sale or supply,Number,1108.0
4626,2018,Possession of drugs for personal use,Number,4026.0
4627,2018,Other drug offences,Number,152.0
4628,2018,Weapons and Explosives Offences,Number,615.0
4629,2018,"Explosives, chemical weapons offences",Number,2.0
4630,2018,Discharging a firearm,Number,30.0
4631,2018,Possession of a firearm,Number,58.0
4632,2018,Offensive weapons offences (n.e.c.),Number,521.0
4633,2018,Fireworks offences,Number,4.0
4634,2018,Damage to property and to the environment,Number,5170.0
4635,2018,Arson,Number,370.0
4636,2018,Criminal damage (not arson),Number,4762.0
4637,2018,Litter offences,Number,38.0
4638,2018,Public order and other social code offences,Number,8207.0
4639,2018,Disorderly conduct,Number,6929.0
4640,2018,Trespass offences,Number,581.0
4641,2018,Liquor licensing offences,Number,140.0
4642,2018,Prostitution offences,Number,5.0
4643,2018,"Regulated betting/money, collection/trading offences",Number,25.0
4644,2018,Social code offences (n.e.c.),Number,527.0
4645,2018,"Offences against government, justice procedures and organisation of crime",Number,4358.0
4646,2018,Offences against government and its agents,Number,46.0
4647,2018,Organisation of crime and conspiracy to commit crime,Number,2.0
4648,2018,Perverting the course of justice,Number,7.0
4649,2018,"Offences while in custody, breach of court orders",Number,4303.0
4650,2018,Homicide offences,Number,21.0
4651,2018,Murder,Number,7.0
4652,2018,Manslaughter,Number,5.0
4653,2018,Infanticide,Number,0.0
4654,2018,Dangerous driving leading to death,Number,9.0
4655,2018,Sexual offences,Number,784.0
4656,2018,Rape of a male or female,Number,190.0
4657,2018,Defilement of a boy or girl less than 17 years old,Number,29.0
4658,2018,Sexual offence involving mentally impaired person,Number,18.0
4659,2018,Aggravated sexual assault,Number,5.0
4660,2018,Sexual assault (not aggravated),Number,436.0
4661,2018,Other sexual offences,Number,106.0
4662,2018,"Attempts/threats to murder, assaults, harassments and related offences",Number,5036.0
4663,2018,Murder-attempt,Number,3.0
4664,2018,Threat to kill or cause serious harm,Number,280.0
4665,2018,Harassment and related offences,Number,410.0
4666,2018,"Assault causing harm, poisoning",Number,1186.0
4667,2018,Other assault,Number,3157.0
4668,2018,Dangerous or negligent acts,Number,2196.0
4669,2018,Dangerous driving causing serious bodily harm,Number,7.0
4670,2018,Driving/in charge of a vehicle while over legal alcohol limit,Number,1809.0
4671,2018,Driving/in charge of a vehicle under the influence of drugs,Number,119.0
4672,2018,Endangerment with potential for serious harm/death,Number,58.0
4673,2018,"Abandoning a child, child neglect and cruelty",Number,87.0
4674,2018,Unseaworthy/dangerous use of boat or ship,Number,1.0
4675,2018,False alarm/interference with aircraft or air transport facilities,Number,0.0
4676,2018,Endangering traffic offences,Number,115.0
4677,2018,Kidnapping and related offences,Number,33.0
4678,2018,False imprisonment,Number,20.0
4679,2018,Abduction of person under 16 years of age,Number,2.0
4680,2018,Human trafficking offences,Number,11.0
4681,2018,"Robbery, extortion and hijacking offences",Number,628.0
4682,2018,Robbery of an establishment or institution,Number,126.0
4683,2018,Robbery of cash or goods in transit,Number,6.0
4684,2018,Robbery from the person,Number,407.0
4685,2018,Blackmail or extortion,Number,54.0
4686,2018,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,35.0
4687,2018,Burglary and related offences,Number,4034.0
4688,2018,Aggravated burglary,Number,61.0
4689,2018,Burglary (not aggravated),Number,3892.0
4690,2018,"Possession of an article (with intent to burgle, steal, demand)",Number,81.0
4691,2018,Theft and related offences,Number,16884.0
4692,2018,Theft/taking of vehicle and related offences,Number,1110.0
4693,2018,Theft from person,Number,984.0
4694,2018,Theft from shop,Number,6010.0
4695,2018,"Other thefts, handling stolen property",Number,8780.0
4696,2018,"Fraud, deception and related offences",Number,1568.0
4697,2018,Controlled drug offences,Number,5086.0
4698,2018,Importation of drugs,Number,2.0
4699,2018,Cultivation or manufacture of drugs,Number,60.0
4700,2018,Possession of drugs for sale or supply,Number,1080.0
4701,2018,Possession of drugs for personal use,Number,3793.0
4702,2018,Other drug offences,Number,151.0
4703,2018,Weapons and Explosives Offences,Number,612.0
4704,2018,"Explosives, chemical weapons offences",Number,7.0
4705,2018,Discharging a firearm,Number,27.0
4706,2018,Possession of a firearm,Number,47.0
4707,2018,Offensive weapons offences (n.e.c.),Number,508.0
4708,2018,Fireworks offences,Number,23.0
4709,2018,Damage to property and to the environment,Number,5266.0
4710,2018,Arson,Number,445.0
4711,2018,Criminal damage (not arson),Number,4769.0
4712,2018,Litter offences,Number,52.0
4713,2018,Public order and other social code offences,Number,8456.0
4714,2018,Disorderly conduct,Number,7230.0
4715,2018,Trespass offences,Number,567.0
4716,2018,Liquor licensing offences,Number,137.0
4717,2018,Prostitution offences,Number,8.0
4718,2018,"Regulated betting/money, collection/trading offences",Number,56.0
4719,2018,Social code offences (n.e.c.),Number,458.0
4720,2018,"Offences against government, justice procedures and organisation of crime",Number,3856.0
4721,2018,Offences against government and its agents,Number,36.0
4722,2018,Organisation of crime and conspiracy to commit crime,Number,2.0
4723,2018,Perverting the course of justice,Number,5.0
4724,2018,"Offences while in custody, breach of court orders",Number,3813.0
4725,2018,Homicide offences,Number,20.0
4726,2018,Murder,Number,9.0
4727,2018,Manslaughter,Number,2.0
4728,2018,Infanticide,Number,0.0
4729,2018,Dangerous driving leading to death,Number,9.0
4730,2018,Sexual offences,Number,773.0
4731,2018,Rape of a male or female,Number,235.0
4732,2018,Defilement of a boy or girl less than 17 years old,Number,55.0
4733,2018,Sexual offence involving mentally impaired person,Number,6.0
4734,2018,Aggravated sexual assault,Number,1.0
4735,2018,Sexual assault (not aggravated),Number,390.0
4736,2018,Other sexual offences,Number,86.0
4737,2018,"Attempts/threats to murder, assaults, harassments and related offences",Number,5277.0
4738,2018,Murder-attempt,Number,4.0
4739,2018,Threat to kill or cause serious harm,Number,276.0
4740,2018,Harassment and related offences,Number,417.0
4741,2018,"Assault causing harm, poisoning",Number,1189.0
4742,2018,Other assault,Number,3391.0
4743,2018,Dangerous or negligent acts,Number,2270.0
4744,2018,Dangerous driving causing serious bodily harm,Number,13.0
4745,2018,Driving/in charge of a vehicle while over legal alcohol limit,Number,1810.0
4746,2018,Driving/in charge of a vehicle under the influence of drugs,Number,199.0
4747,2018,Endangerment with potential for serious harm/death,Number,54.0
4748,2018,"Abandoning a child, child neglect and cruelty",Number,83.0
4749,2018,Unseaworthy/dangerous use of boat or ship,Number,0.0
4750,2018,False alarm/interference with aircraft or air transport facilities,Number,0.0
4751,2018,Endangering traffic offences,Number,111.0
4752,2018,Kidnapping and related offences,Number,48.0
4753,2018,False imprisonment,Number,28.0
4754,2018,Abduction of person under 16 years of age,Number,10.0
4755,2018,Human trafficking offences,Number,10.0
4756,2018,"Robbery, extortion and hijacking offences",Number,666.0
4757,2018,Robbery of an establishment or institution,Number,167.0
4758,2018,Robbery of cash or goods in transit,Number,10.0
4759,2018,Robbery from the person,Number,401.0
4760,2018,Blackmail or extortion,Number,45.0
4761,2018,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,43.0
4762,2018,Burglary and related offences,Number,4500.0
4763,2018,Aggravated burglary,Number,72.0
4764,2018,Burglary (not aggravated),Number,4351.0
4765,2018,"Possession of an article (with intent to burgle, steal, demand)",Number,77.0
4766,2018,Theft and related offences,Number,17571.0
4767,2018,Theft/taking of vehicle and related offences,Number,1301.0
4768,2018,Theft from person,Number,1222.0
4769,2018,Theft from shop,Number,6192.0
4770,2018,"Other thefts, handling stolen property",Number,8856.0
4771,2018,"Fraud, deception and related offences",Number,1872.0
4772,2018,Controlled drug offences,Number,4111.0
4773,2018,Importation of drugs,Number,6.0
4774,2018,Cultivation or manufacture of drugs,Number,53.0
4775,2018,Possession of drugs for sale or supply,Number,997.0
4776,2018,Possession of drugs for personal use,Number,2920.0
4777,2018,Other drug offences,Number,135.0
4778,2018,Weapons and Explosives Offences,Number,707.0
4779,2018,"Explosives, chemical weapons offences",Number,22.0
4780,2018,Discharging a firearm,Number,17.0
4781,2018,Possession of a firearm,Number,44.0
4782,2018,Offensive weapons offences (n.e.c.),Number,487.0
4783,2018,Fireworks offences,Number,137.0
4784,2018,Damage to property and to the environment,Number,5754.0
4785,2018,Arson,Number,482.0
4786,2018,Criminal damage (not arson),Number,5242.0
4787,2018,Litter offences,Number,30.0
4788,2018,Public order and other social code offences,Number,8394.0
4789,2018,Disorderly conduct,Number,7061.0
4790,2018,Trespass offences,Number,541.0
4791,2018,Liquor licensing offences,Number,128.0
4792,2018,Prostitution offences,Number,13.0
4793,2018,"Regulated betting/money, collection/trading offences",Number,42.0
4794,2018,Social code offences (n.e.c.),Number,609.0
4795,2018,"Offences against government, justice procedures and organisation of crime",Number,4277.0
4796,2018,Offences against government and its agents,Number,47.0
4797,2018,Organisation of crime and conspiracy to commit crime,Number,0.0
4798,2018,Perverting the course of justice,Number,6.0
4799,2018,"Offences while in custody, breach of court orders",Number,4224.0
4800,2019,Homicide offences,Number,11.0
4801,2019,Murder,Number,7.0
4802,2019,Manslaughter,Number,1.0
4803,2019,Infanticide,Number,0.0
4804,2019,Dangerous driving leading to death,Number,3.0
4805,2019,Sexual offences,Number,930.0
4806,2019,Rape of a male or female,Number,215.0
4807,2019,Defilement of a boy or girl less than 17 years old,Number,54.0
4808,2019,Sexual offence involving mentally impaired person,Number,3.0
4809,2019,Aggravated sexual assault,Number,4.0
4810,2019,Sexual assault (not aggravated),Number,468.0
4811,2019,Other sexual offences,Number,186.0
4812,2019,"Attempts/threats to murder, assaults, harassments and related offences",Number,5223.0
4813,2019,Murder-attempt,Number,10.0
4814,2019,Threat to kill or cause serious harm,Number,321.0
4815,2019,Harassment and related offences,Number,441.0
4816,2019,"Assault causing harm, poisoning",Number,1198.0
4817,2019,Other assault,Number,3253.0
4818,2019,Dangerous or negligent acts,Number,2098.0
4819,2019,Dangerous driving causing serious bodily harm,Number,13.0
4820,2019,Driving/in charge of a vehicle while over legal alcohol limit,Number,1601.0
4821,2019,Driving/in charge of a vehicle under the influence of drugs,Number,281.0
4822,2019,Endangerment with potential for serious harm/death,Number,53.0
4823,2019,"Abandoning a child, child neglect and cruelty",Number,85.0
4824,2019,Unseaworthy/dangerous use of boat or ship,Number,0.0
4825,2019,False alarm/interference with aircraft or air transport facilities,Number,1.0
4826,2019,Endangering traffic offences,Number,64.0
4827,2019,Kidnapping and related offences,Number,27.0
4828,2019,False imprisonment,Number,19.0
4829,2019,Abduction of person under 16 years of age,Number,5.0
4830,2019,Human trafficking offences,Number,3.0
4831,2019,"Robbery, extortion and hijacking offences",Number,578.0
4832,2019,Robbery of an establishment or institution,Number,166.0
4833,2019,Robbery of cash or goods in transit,Number,7.0
4834,2019,Robbery from the person,Number,322.0
4835,2019,Blackmail or extortion,Number,46.0
4836,2019,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,37.0
4837,2019,Burglary and related offences,Number,4212.0
4838,2019,Aggravated burglary,Number,79.0
4839,2019,Burglary (not aggravated),Number,4053.0
4840,2019,"Possession of an article (with intent to burgle, steal, demand)",Number,80.0
4841,2019,Theft and related offences,Number,16229.0
4842,2019,Theft/taking of vehicle and related offences,Number,1338.0
4843,2019,Theft from person,Number,1071.0
4844,2019,Theft from shop,Number,5777.0
4845,2019,"Other thefts, handling stolen property",Number,8043.0
4846,2019,"Fraud, deception and related offences",Number,1935.0
4847,2019,Controlled drug offences,Number,4590.0
4848,2019,Importation of drugs,Number,3.0
4849,2019,Cultivation or manufacture of drugs,Number,37.0
4850,2019,Possession of drugs for sale or supply,Number,1123.0
4851,2019,Possession of drugs for personal use,Number,3261.0
4852,2019,Other drug offences,Number,166.0
4853,2019,Weapons and Explosives Offences,Number,567.0
4854,2019,"Explosives, chemical weapons offences",Number,12.0
4855,2019,Discharging a firearm,Number,22.0
4856,2019,Possession of a firearm,Number,44.0
4857,2019,Offensive weapons offences (n.e.c.),Number,481.0
4858,2019,Fireworks offences,Number,8.0
4859,2019,Damage to property and to the environment,Number,5540.0
4860,2019,Arson,Number,373.0
4861,2019,Criminal damage (not arson),Number,5128.0
4862,2019,Litter offences,Number,39.0
4863,2019,Public order and other social code offences,Number,7465.0
4864,2019,Disorderly conduct,Number,6373.0
4865,2019,Trespass offences,Number,550.0
4866,2019,Liquor licensing offences,Number,134.0
4867,2019,Prostitution offences,Number,12.0
4868,2019,"Regulated betting/money, collection/trading offences",Number,29.0
4869,2019,Social code offences (n.e.c.),Number,367.0
4870,2019,"Offences against government, justice procedures and organisation of crime",Number,4488.0
4871,2019,Offences against government and its agents,Number,41.0
4872,2019,Organisation of crime and conspiracy to commit crime,Number,0.0
4873,2019,Perverting the course of justice,Number,7.0
4874,2019,"Offences while in custody, breach of court orders",Number,4440.0
4875,2019,Homicide offences,Number,22.0
4876,2019,Murder,Number,8.0
4877,2019,Manslaughter,Number,2.0
4878,2019,Infanticide,Number,0.0
4879,2019,Dangerous driving leading to death,Number,12.0
4880,2019,Sexual offences,Number,878.0
4881,2019,Rape of a male or female,Number,219.0
4882,2019,Defilement of a boy or girl less than 17 years old,Number,51.0
4883,2019,Sexual offence involving mentally impaired person,Number,5.0
4884,2019,Aggravated sexual assault,Number,2.0
4885,2019,Sexual assault (not aggravated),Number,465.0
4886,2019,Other sexual offences,Number,136.0
4887,2019,"Attempts/threats to murder, assaults, harassments and related offences",Number,5440.0
4888,2019,Murder-attempt,Number,9.0
4889,2019,Threat to kill or cause serious harm,Number,289.0
4890,2019,Harassment and related offences,Number,418.0
4891,2019,"Assault causing harm, poisoning",Number,1241.0
4892,2019,Other assault,Number,3483.0
4893,2019,Dangerous or negligent acts,Number,2247.0
4894,2019,Dangerous driving causing serious bodily harm,Number,16.0
4895,2019,Driving/in charge of a vehicle while over legal alcohol limit,Number,1716.0
4896,2019,Driving/in charge of a vehicle under the influence of drugs,Number,297.0
4897,2019,Endangerment with potential for serious harm/death,Number,61.0
4898,2019,"Abandoning a child, child neglect and cruelty",Number,84.0
4899,2019,Unseaworthy/dangerous use of boat or ship,Number,1.0
4900,2019,False alarm/interference with aircraft or air transport facilities,Number,0.0
4901,2019,Endangering traffic offences,Number,72.0
4902,2019,Kidnapping and related offences,Number,24.0
4903,2019,False imprisonment,Number,14.0
4904,2019,Abduction of person under 16 years of age,Number,4.0
4905,2019,Human trafficking offences,Number,6.0
4906,2019,"Robbery, extortion and hijacking offences",Number,518.0
4907,2019,Robbery of an establishment or institution,Number,152.0
4908,2019,Robbery of cash or goods in transit,Number,7.0
4909,2019,Robbery from the person,Number,300.0
4910,2019,Blackmail or extortion,Number,31.0
4911,2019,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,28.0
4912,2019,Burglary and related offences,Number,3837.0
4913,2019,Aggravated burglary,Number,51.0
4914,2019,Burglary (not aggravated),Number,3711.0
4915,2019,"Possession of an article (with intent to burgle, steal, demand)",Number,75.0
4916,2019,Theft and related offences,Number,17228.0
4917,2019,Theft/taking of vehicle and related offences,Number,1141.0
4918,2019,Theft from person,Number,1053.0
4919,2019,Theft from shop,Number,6287.0
4920,2019,"Other thefts, handling stolen property",Number,8747.0
4921,2019,"Fraud, deception and related offences",Number,1929.0
4922,2019,Controlled drug offences,Number,6218.0
4923,2019,Importation of drugs,Number,12.0
4924,2019,Cultivation or manufacture of drugs,Number,45.0
4925,2019,Possession of drugs for sale or supply,Number,1254.0
4926,2019,Possession of drugs for personal use,Number,4692.0
4927,2019,Other drug offences,Number,215.0
4928,2019,Weapons and Explosives Offences,Number,711.0
4929,2019,"Explosives, chemical weapons offences",Number,27.0
4930,2019,Discharging a firearm,Number,41.0
4931,2019,Possession of a firearm,Number,60.0
4932,2019,Offensive weapons offences (n.e.c.),Number,577.0
4933,2019,Fireworks offences,Number,6.0
4934,2019,Damage to property and to the environment,Number,5388.0
4935,2019,Arson,Number,381.0
4936,2019,Criminal damage (not arson),Number,4956.0
4937,2019,Litter offences,Number,51.0
4938,2019,Public order and other social code offences,Number,8344.0
4939,2019,Disorderly conduct,Number,7238.0
4940,2019,Trespass offences,Number,627.0
4941,2019,Liquor licensing offences,Number,122.0
4942,2019,Prostitution offences,Number,40.0
4943,2019,"Regulated betting/money, collection/trading offences",Number,31.0
4944,2019,Social code offences (n.e.c.),Number,286.0
4945,2019,"Offences against government, justice procedures and organisation of crime",Number,4544.0
4946,2019,Offences against government and its agents,Number,87.0
4947,2019,Organisation of crime and conspiracy to commit crime,Number,4.0
4948,2019,Perverting the course of justice,Number,38.0
4949,2019,"Offences while in custody, breach of court orders",Number,4415.0
4950,2019,Homicide offences,Number,16.0
4951,2019,Murder,Number,7.0
4952,2019,Manslaughter,Number,3.0
4953,2019,Infanticide,Number,0.0
4954,2019,Dangerous driving leading to death,Number,6.0
4955,2019,Sexual offences,Number,847.0
4956,2019,Rape of a male or female,Number,223.0
4957,2019,Defilement of a boy or girl less than 17 years old,Number,56.0
4958,2019,Sexual offence involving mentally impaired person,Number,8.0
4959,2019,Aggravated sexual assault,Number,2.0
4960,2019,Sexual assault (not aggravated),Number,436.0
4961,2019,Other sexual offences,Number,122.0
4962,2019,"Attempts/threats to murder, assaults, harassments and related offences",Number,5725.0
4963,2019,Murder-attempt,Number,4.0
4964,2019,Threat to kill or cause serious harm,Number,341.0
4965,2019,Harassment and related offences,Number,418.0
4966,2019,"Assault causing harm, poisoning",Number,1295.0
4967,2019,Other assault,Number,3667.0
4968,2019,Dangerous or negligent acts,Number,2164.0
4969,2019,Dangerous driving causing serious bodily harm,Number,5.0
4970,2019,Driving/in charge of a vehicle while over legal alcohol limit,Number,1585.0
4971,2019,Driving/in charge of a vehicle under the influence of drugs,Number,352.0
4972,2019,Endangerment with potential for serious harm/death,Number,67.0
4973,2019,"Abandoning a child, child neglect and cruelty",Number,89.0
4974,2019,Unseaworthy/dangerous use of boat or ship,Number,2.0
4975,2019,False alarm/interference with aircraft or air transport facilities,Number,1.0
4976,2019,Endangering traffic offences,Number,63.0
4977,2019,Kidnapping and related offences,Number,42.0
4978,2019,False imprisonment,Number,28.0
4979,2019,Abduction of person under 16 years of age,Number,9.0
4980,2019,Human trafficking offences,Number,5.0
4981,2019,"Robbery, extortion and hijacking offences",Number,575.0
4982,2019,Robbery of an establishment or institution,Number,128.0
4983,2019,Robbery of cash or goods in transit,Number,9.0
4984,2019,Robbery from the person,Number,364.0
4985,2019,Blackmail or extortion,Number,33.0
4986,2019,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,41.0
4987,2019,Burglary and related offences,Number,4005.0
4988,2019,Aggravated burglary,Number,65.0
4989,2019,Burglary (not aggravated),Number,3846.0
4990,2019,"Possession of an article (with intent to burgle, steal, demand)",Number,94.0
4991,2019,Theft and related offences,Number,17867.0
4992,2019,Theft/taking of vehicle and related offences,Number,1152.0
4993,2019,Theft from person,Number,1195.0
4994,2019,Theft from shop,Number,6548.0
4995,2019,"Other thefts, handling stolen property",Number,8972.0
4996,2019,"Fraud, deception and related offences",Number,2086.0
4997,2019,Controlled drug offences,Number,5852.0
4998,2019,Importation of drugs,Number,7.0
4999,2019,Cultivation or manufacture of drugs,Number,70.0
5000,2019,Possession of drugs for sale or supply,Number,1195.0
5001,2019,Possession of drugs for personal use,Number,4376.0
5002,2019,Other drug offences,Number,204.0
5003,2019,Weapons and Explosives Offences,Number,718.0
5004,2019,"Explosives, chemical weapons offences",Number,30.0
5005,2019,Discharging a firearm,Number,21.0
5006,2019,Possession of a firearm,Number,61.0
5007,2019,Offensive weapons offences (n.e.c.),Number,566.0
5008,2019,Fireworks offences,Number,40.0
5009,2019,Damage to property and to the environment,Number,5567.0
5010,2019,Arson,Number,428.0
5011,2019,Criminal damage (not arson),Number,5105.0
5012,2019,Litter offences,Number,34.0
5013,2019,Public order and other social code offences,Number,8664.0
5014,2019,Disorderly conduct,Number,7554.0
5015,2019,Trespass offences,Number,560.0
5016,2019,Liquor licensing offences,Number,137.0
5017,2019,Prostitution offences,Number,41.0
5018,2019,"Regulated betting/money, collection/trading offences",Number,31.0
5019,2019,Social code offences (n.e.c.),Number,341.0
5020,2019,"Offences against government, justice procedures and organisation of crime",Number,4394.0
5021,2019,Offences against government and its agents,Number,54.0
5022,2019,Organisation of crime and conspiracy to commit crime,Number,6.0
5023,2019,Perverting the course of justice,Number,7.0
5024,2019,"Offences while in custody, breach of court orders",Number,4327.0
5025,2019,Homicide offences,Number,14.0
5026,2019,Murder,Number,10.0
5027,2019,Manslaughter,Number,0.0
5028,2019,Infanticide,Number,0.0
5029,2019,Dangerous driving leading to death,Number,4.0
5030,2019,Sexual offences,Number,708.0
5031,2019,Rape of a male or female,Number,193.0
5032,2019,Defilement of a boy or girl less than 17 years old,Number,38.0
5033,2019,Sexual offence involving mentally impaired person,Number,5.0
5034,2019,Aggravated sexual assault,Number,3.0
5035,2019,Sexual assault (not aggravated),Number,407.0
5036,2019,Other sexual offences,Number,62.0
5037,2019,"Attempts/threats to murder, assaults, harassments and related offences",Number,5451.0
5038,2019,Murder-attempt,Number,4.0
5039,2019,Threat to kill or cause serious harm,Number,298.0
5040,2019,Harassment and related offences,Number,422.0
5041,2019,"Assault causing harm, poisoning",Number,1313.0
5042,2019,Other assault,Number,3414.0
5043,2019,Dangerous or negligent acts,Number,2193.0
5044,2019,Dangerous driving causing serious bodily harm,Number,7.0
5045,2019,Driving/in charge of a vehicle while over legal alcohol limit,Number,1659.0
5046,2019,Driving/in charge of a vehicle under the influence of drugs,Number,335.0
5047,2019,Endangerment with potential for serious harm/death,Number,52.0
5048,2019,"Abandoning a child, child neglect and cruelty",Number,60.0
5049,2019,Unseaworthy/dangerous use of boat or ship,Number,0.0
5050,2019,False alarm/interference with aircraft or air transport facilities,Number,1.0
5051,2019,Endangering traffic offences,Number,79.0
5052,2019,Kidnapping and related offences,Number,34.0
5053,2019,False imprisonment,Number,26.0
5054,2019,Abduction of person under 16 years of age,Number,3.0
5055,2019,Human trafficking offences,Number,5.0
5056,2019,"Robbery, extortion and hijacking offences",Number,673.0
5057,2019,Robbery of an establishment or institution,Number,188.0
5058,2019,Robbery of cash or goods in transit,Number,12.0
5059,2019,Robbery from the person,Number,381.0
5060,2019,Blackmail or extortion,Number,43.0
5061,2019,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,49.0
5062,2019,Burglary and related offences,Number,4698.0
5063,2019,Aggravated burglary,Number,79.0
5064,2019,Burglary (not aggravated),Number,4533.0
5065,2019,"Possession of an article (with intent to burgle, steal, demand)",Number,86.0
5066,2019,Theft and related offences,Number,16820.0
5067,2019,Theft/taking of vehicle and related offences,Number,1115.0
5068,2019,Theft from person,Number,987.0
5069,2019,Theft from shop,Number,6066.0
5070,2019,"Other thefts, handling stolen property",Number,8652.0
5071,2019,"Fraud, deception and related offences",Number,1969.0
5072,2019,Controlled drug offences,Number,4650.0
5073,2019,Importation of drugs,Number,6.0
5074,2019,Cultivation or manufacture of drugs,Number,40.0
5075,2019,Possession of drugs for sale or supply,Number,1211.0
5076,2019,Possession of drugs for personal use,Number,3264.0
5077,2019,Other drug offences,Number,129.0
5078,2019,Weapons and Explosives Offences,Number,691.0
5079,2019,"Explosives, chemical weapons offences",Number,11.0
5080,2019,Discharging a firearm,Number,12.0
5081,2019,Possession of a firearm,Number,44.0
5082,2019,Offensive weapons offences (n.e.c.),Number,472.0
5083,2019,Fireworks offences,Number,152.0
5084,2019,Damage to property and to the environment,Number,5422.0
5085,2019,Arson,Number,407.0
5086,2019,Criminal damage (not arson),Number,4980.0
5087,2019,Litter offences,Number,35.0
5088,2019,Public order and other social code offences,Number,7923.0
5089,2019,Disorderly conduct,Number,6794.0
5090,2019,Trespass offences,Number,537.0
5091,2019,Liquor licensing offences,Number,135.0
5092,2019,Prostitution offences,Number,18.0
5093,2019,"Regulated betting/money, collection/trading offences",Number,33.0
5094,2019,Social code offences (n.e.c.),Number,406.0
5095,2019,"Offences against government, justice procedures and organisation of crime",Number,4599.0
5096,2019,Offences against government and its agents,Number,67.0
5097,2019,Organisation of crime and conspiracy to commit crime,Number,3.0
5098,2019,Perverting the course of justice,Number,9.0
5099,2019,"Offences while in custody, breach of court orders",Number,4520.0
5100,2020,Homicide offences,Number,21.0
5101,2020,Murder,Number,10.0
5102,2020,Manslaughter,Number,1.0
5103,2020,Infanticide,Number,0.0
5104,2020,Dangerous driving leading to death,Number,10.0
5105,2020,Sexual offences,Number,746.0
5106,2020,Rape of a male or female,Number,188.0
5107,2020,Defilement of a boy or girl less than 17 years old,Number,53.0
5108,2020,Sexual offence involving mentally impaired person,Number,3.0
5109,2020,Aggravated sexual assault,Number,0.0
5110,2020,Sexual assault (not aggravated),Number,414.0
5111,2020,Other sexual offences,Number,88.0
5112,2020,"Attempts/threats to murder, assaults, harassments and related offences",Number,4684.0
5113,2020,Murder-attempt,Number,9.0
5114,2020,Threat to kill or cause serious harm,Number,332.0
5115,2020,Harassment and related offences,Number,398.0
5116,2020,"Assault causing harm, poisoning",Number,1032.0
5117,2020,Other assault,Number,2913.0
5118,2020,Dangerous or negligent acts,Number,2110.0
5119,2020,Dangerous driving causing serious bodily harm,Number,11.0
5120,2020,Driving/in charge of a vehicle while over legal alcohol limit,Number,1318.0
5121,2020,Driving/in charge of a vehicle under the influence of drugs,Number,578.0
5122,2020,Endangerment with potential for serious harm/death,Number,72.0
5123,2020,"Abandoning a child, child neglect and cruelty",Number,82.0
5124,2020,Unseaworthy/dangerous use of boat or ship,Number,0.0
5125,2020,False alarm/interference with aircraft or air transport facilities,Number,1.0
5126,2020,Endangering traffic offences,Number,48.0
5127,2020,Kidnapping and related offences,Number,41.0
5128,2020,False imprisonment,Number,37.0
5129,2020,Abduction of person under 16 years of age,Number,0.0
5130,2020,Human trafficking offences,Number,4.0
5131,2020,"Robbery, extortion and hijacking offences",Number,546.0
5132,2020,Robbery of an establishment or institution,Number,142.0
5133,2020,Robbery of cash or goods in transit,Number,5.0
5134,2020,Robbery from the person,Number,328.0
5135,2020,Blackmail or extortion,Number,37.0
5136,2020,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,34.0
5137,2020,Burglary and related offences,Number,3872.0
5138,2020,Aggravated burglary,Number,88.0
5139,2020,Burglary (not aggravated),Number,3702.0
5140,2020,"Possession of an article (with intent to burgle, steal, demand)",Number,82.0
5141,2020,Theft and related offences,Number,14851.0
5142,2020,Theft/taking of vehicle and related offences,Number,1148.0
5143,2020,Theft from person,Number,820.0
5144,2020,Theft from shop,Number,5377.0
5145,2020,"Other thefts, handling stolen property",Number,7506.0
5146,2020,"Fraud, deception and related offences",Number,2031.0
5147,2020,Controlled drug offences,Number,5284.0
5148,2020,Importation of drugs,Number,3.0
5149,2020,Cultivation or manufacture of drugs,Number,31.0
5150,2020,Possession of drugs for sale or supply,Number,1450.0
5151,2020,Possession of drugs for personal use,Number,3605.0
5152,2020,Other drug offences,Number,195.0
5153,2020,Weapons and Explosives Offences,Number,671.0
5154,2020,"Explosives, chemical weapons offences",Number,19.0
5155,2020,Discharging a firearm,Number,26.0
5156,2020,Possession of a firearm,Number,52.0
5157,2020,Offensive weapons offences (n.e.c.),Number,566.0
5158,2020,Fireworks offences,Number,8.0
5159,2020,Damage to property and to the environment,Number,4992.0
5160,2020,Arson,Number,348.0
