"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2003Q2","Prostitution offences","Number","60"
"Recorded crime incidents (Under Reservation)","2003Q2","Regulated betting/money, collection/trading offences","Number","67"
"Recorded crime incidents (Under Reservation)","2003Q2","Social code offences (n.e.c.)","Number","334"
"Recorded crime incidents (Under Reservation)","2003Q2","Offences against government, justice procedures and organisation of crime","Number","1623"
"Recorded crime incidents (Under Reservation)","2003Q2","Offences against government and its agents","Number","49"
"Recorded crime incidents (Under Reservation)","2003Q2","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q2","Perverting the course of justice","Number","59"
"Recorded crime incidents (Under Reservation)","2003Q2","Offences while in custody, breach of court orders","Number","1513"
"Recorded crime incidents (Under Reservation)","2003Q3","Homicide offences","Number","29"
"Recorded crime incidents (Under Reservation)","2003Q3","Murder","Number","10"
"Recorded crime incidents (Under Reservation)","2003Q3","Manslaughter","Number","4"
"Recorded crime incidents (Under Reservation)","2003Q3","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q3","Dangerous driving leading to death","Number","15"
"Recorded crime incidents (Under Reservation)","2003Q3","Sexual offences","Number","339"
"Recorded crime incidents (Under Reservation)","2003Q3","Rape of a male or female","Number","70"
"Recorded crime incidents (Under Reservation)","2003Q3","Defilement of a boy or girl less than 17 years old","Number","21"
"Recorded crime incidents (Under Reservation)","2003Q3","Sexual offence involving mentally impaired person","Number","6"
"Recorded crime incidents (Under Reservation)","2003Q3","Aggravated sexual assault","Number","4"
"Recorded crime incidents (Under Reservation)","2003Q3","Sexual assault (not aggravated)","Number","222"
"Recorded crime incidents (Under Reservation)","2003Q3","Other sexual offences","Number","16"
"Recorded crime incidents (Under Reservation)","2003Q3","Attempts/threats to murder, assaults, harassments and related offences","Number","3453"
"Recorded crime incidents (Under Reservation)","2003Q3","Murder-attempt","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q3","Threat to kill or cause serious harm","Number","16"
"Recorded crime incidents (Under Reservation)","2003Q3","Harassment and related offences","Number","228"
"Recorded crime incidents (Under Reservation)","2003Q3","Assault causing harm, poisoning","Number","952"
"Recorded crime incidents (Under Reservation)","2003Q3","Other assault","Number","2255"
"Recorded crime incidents (Under Reservation)","2003Q3","Dangerous or negligent acts","Number","3039"
"Recorded crime incidents (Under Reservation)","2003Q3","Dangerous driving causing serious bodily harm","Number","9"
"Recorded crime incidents (Under Reservation)","2003Q3","Driving/in charge of a vehicle while over legal alcohol limit","Number","2908"
"Recorded crime incidents (Under Reservation)","2003Q3","Driving/in charge of a vehicle under the influence of drugs","Number","20"
"Recorded crime incidents (Under Reservation)","2003Q3","Endangerment with potential for serious harm/death","Number","12"
"Recorded crime incidents (Under Reservation)","2003Q3","Abandoning a child, child neglect and cruelty","Number","48"
"Recorded crime incidents (Under Reservation)","2003Q3","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q3","False alarm/interference with aircraft or air transport facilities","Number","3"
"Recorded crime incidents (Under Reservation)","2003Q3","Endangering traffic offences","Number","39"
"Recorded crime incidents (Under Reservation)","2003Q3","Kidnapping and related offences","Number","25"
"Recorded crime incidents (Under Reservation)","2003Q3","False imprisonment","Number","17"
"Recorded crime incidents (Under Reservation)","2003Q3","Abduction of person under 16 years of age","Number","8"
"Recorded crime incidents (Under Reservation)","2003Q3","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q3","Robbery, extortion and hijacking offences","Number","698"
"Recorded crime incidents (Under Reservation)","2003Q3","Robbery of an establishment or institution","Number","241"
"Recorded crime incidents (Under Reservation)","2003Q3","Robbery of cash or goods in transit","Number","9"
"Recorded crime incidents (Under Reservation)","2003Q3","Robbery from the person","Number","418"
"Recorded crime incidents (Under Reservation)","2003Q3","Blackmail or extortion","Number","10"
"Recorded crime incidents (Under Reservation)","2003Q3","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","20"
"Recorded crime incidents (Under Reservation)","2003Q3","Burglary and related offences","Number","6297"
"Recorded crime incidents (Under Reservation)","2003Q3","Aggravated burglary","Number","83"
"Recorded crime incidents (Under Reservation)","2003Q3","Burglary (not aggravated)","Number","6159"
"Recorded crime incidents (Under Reservation)","2003Q3","Possession of an article (with intent to burgle, steal, demand)","Number","55"
"Recorded crime incidents (Under Reservation)","2003Q3","Theft and related offences","Number","19217"
"Recorded crime incidents (Under Reservation)","2003Q3","Theft/taking of vehicle and related offences","Number","3327"
"Recorded crime incidents (Under Reservation)","2003Q3","Theft from person","Number","1730"
"Recorded crime incidents (Under Reservation)","2003Q3","Theft from shop","Number","3925"
"Recorded crime incidents (Under Reservation)","2003Q3","Other thefts, handling stolen property","Number","10235"
"Recorded crime incidents (Under Reservation)","2003Q3","Fraud, deception and related offences","Number","948"
"Recorded crime incidents (Under Reservation)","2003Q3","Controlled drug offences","Number","2613"
"Recorded crime incidents (Under Reservation)","2003Q3","Importation of drugs","Number","6"
