"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2018Q1","Murder","Number","10"
"Recorded crime incidents (Under Reservation)","2018Q1","Manslaughter","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q1","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q1","Dangerous driving leading to death","Number","9"
"Recorded crime incidents (Under Reservation)","2018Q1","Sexual offences","Number","836"
"Recorded crime incidents (Under Reservation)","2018Q1","Rape of a male or female","Number","188"
"Recorded crime incidents (Under Reservation)","2018Q1","Defilement of a boy or girl less than 17 years old","Number","43"
"Recorded crime incidents (Under Reservation)","2018Q1","Sexual offence involving mentally impaired person","Number","10"
"Recorded crime incidents (Under Reservation)","2018Q1","Aggravated sexual assault","Number","3"
"Recorded crime incidents (Under Reservation)","2018Q1","Sexual assault (not aggravated)","Number","465"
"Recorded crime incidents (Under Reservation)","2018Q1","Other sexual offences","Number","127"
"Recorded crime incidents (Under Reservation)","2018Q1","Attempts/threats to murder, assaults, harassments and related offences","Number","4609"
"Recorded crime incidents (Under Reservation)","2018Q1","Murder-attempt","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q1","Threat to kill or cause serious harm","Number","242"
"Recorded crime incidents (Under Reservation)","2018Q1","Harassment and related offences","Number","410"
"Recorded crime incidents (Under Reservation)","2018Q1","Assault causing harm, poisoning","Number","1000"
"Recorded crime incidents (Under Reservation)","2018Q1","Other assault","Number","2955"
"Recorded crime incidents (Under Reservation)","2018Q1","Dangerous or negligent acts","Number","1822"
"Recorded crime incidents (Under Reservation)","2018Q1","Dangerous driving causing serious bodily harm","Number","3"
"Recorded crime incidents (Under Reservation)","2018Q1","Driving/in charge of a vehicle while over legal alcohol limit","Number","1564"
"Recorded crime incidents (Under Reservation)","2018Q1","Driving/in charge of a vehicle under the influence of drugs","Number","77"
"Recorded crime incidents (Under Reservation)","2018Q1","Endangerment with potential for serious harm/death","Number","34"
"Recorded crime incidents (Under Reservation)","2018Q1","Abandoning a child, child neglect and cruelty","Number","86"
"Recorded crime incidents (Under Reservation)","2018Q1","Unseaworthy/dangerous use of boat or ship","Number","1"
"Recorded crime incidents (Under Reservation)","2018Q1","False alarm/interference with aircraft or air transport facilities","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q1","Endangering traffic offences","Number","57"
"Recorded crime incidents (Under Reservation)","2018Q1","Kidnapping and related offences","Number","21"
"Recorded crime incidents (Under Reservation)","2018Q1","False imprisonment","Number","15"
"Recorded crime incidents (Under Reservation)","2018Q1","Abduction of person under 16 years of age","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q1","Human trafficking offences","Number","4"
"Recorded crime incidents (Under Reservation)","2018Q1","Robbery, extortion and hijacking offences","Number","598"
"Recorded crime incidents (Under Reservation)","2018Q1","Robbery of an establishment or institution","Number","249"
"Recorded crime incidents (Under Reservation)","2018Q1","Robbery of cash or goods in transit","Number","3"
"Recorded crime incidents (Under Reservation)","2018Q1","Robbery from the person","Number","302"
"Recorded crime incidents (Under Reservation)","2018Q1","Blackmail or extortion","Number","26"
"Recorded crime incidents (Under Reservation)","2018Q1","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","18"
"Recorded crime incidents (Under Reservation)","2018Q1","Burglary and related offences","Number","4428"
"Recorded crime incidents (Under Reservation)","2018Q1","Aggravated burglary","Number","55"
"Recorded crime incidents (Under Reservation)","2018Q1","Burglary (not aggravated)","Number","4277"
"Recorded crime incidents (Under Reservation)","2018Q1","Possession of an article (with intent to burgle, steal, demand)","Number","96"
"Recorded crime incidents (Under Reservation)","2018Q1","Theft and related offences","Number","15841"
"Recorded crime incidents (Under Reservation)","2018Q1","Theft/taking of vehicle and related offences","Number","1202"
"Recorded crime incidents (Under Reservation)","2018Q1","Theft from person","Number","1118"
"Recorded crime incidents (Under Reservation)","2018Q1","Theft from shop","Number","5355"
"Recorded crime incidents (Under Reservation)","2018Q1","Other thefts, handling stolen property","Number","8166"
"Recorded crime incidents (Under Reservation)","2018Q1","Fraud, deception and related offences","Number","1343"
"Recorded crime incidents (Under Reservation)","2018Q1","Controlled drug offences","Number","3736"
"Recorded crime incidents (Under Reservation)","2018Q1","Importation of drugs","Number","4"
"Recorded crime incidents (Under Reservation)","2018Q1","Cultivation or manufacture of drugs","Number","35"
"Recorded crime incidents (Under Reservation)","2018Q1","Possession of drugs for sale or supply","Number","950"
"Recorded crime incidents (Under Reservation)","2018Q1","Possession of drugs for personal use","Number","2643"
"Recorded crime incidents (Under Reservation)","2018Q1","Other drug offences","Number","104"
"Recorded crime incidents (Under Reservation)","2018Q1","Weapons and Explosives Offences","Number","508"
"Recorded crime incidents (Under Reservation)","2018Q1","Explosives, chemical weapons offences","Number","4"
"Recorded crime incidents (Under Reservation)","2018Q1","Discharging a firearm","Number","16"
"Recorded crime incidents (Under Reservation)","2018Q1","Possession of a firearm","Number","39"
"Recorded crime incidents (Under Reservation)","2018Q1","Offensive weapons offences (n.e.c.)","Number","445"
"Recorded crime incidents (Under Reservation)","2018Q1","Fireworks offences","Number","4"
"Recorded crime incidents (Under Reservation)","2018Q1","Damage to property and to the environment","Number","5327"
"Recorded crime incidents (Under Reservation)","2018Q1","Arson","Number","379"
"Recorded crime incidents (Under Reservation)","2018Q1","Criminal damage (not arson)","Number","4918"
"Recorded crime incidents (Under Reservation)","2018Q1","Litter offences","Number","30"
"Recorded crime incidents (Under Reservation)","2018Q1","Public order and other social code offences","Number","6906"
"Recorded crime incidents (Under Reservation)","2018Q1","Disorderly conduct","Number","5718"
"Recorded crime incidents (Under Reservation)","2018Q1","Trespass offences","Number","500"
"Recorded crime incidents (Under Reservation)","2018Q1","Liquor licensing offences","Number","176"
"Recorded crime incidents (Under Reservation)","2018Q1","Prostitution offences","Number","11"
"Recorded crime incidents (Under Reservation)","2018Q1","Regulated betting/money, collection/trading offences","Number","31"
"Recorded crime incidents (Under Reservation)","2018Q1","Social code offences (n.e.c.)","Number","470"
"Recorded crime incidents (Under Reservation)","2018Q1","Offences against government, justice procedures and organisation of crime","Number","4054"
"Recorded crime incidents (Under Reservation)","2018Q1","Offences against government and its agents","Number","73"
"Recorded crime incidents (Under Reservation)","2018Q1","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q1","Perverting the course of justice","Number","9"
"Recorded crime incidents (Under Reservation)","2018Q1","Offences while in custody, breach of court orders","Number","3970"
"Recorded crime incidents (Under Reservation)","2018Q2","Homicide offences","Number","26"
"Recorded crime incidents (Under Reservation)","2018Q2","Murder","Number","11"
"Recorded crime incidents (Under Reservation)","2018Q2","Manslaughter","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q2","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q2","Dangerous driving leading to death","Number","13"
"Recorded crime incidents (Under Reservation)","2018Q2","Sexual offences","Number","820"
"Recorded crime incidents (Under Reservation)","2018Q2","Rape of a male or female","Number","194"
"Recorded crime incidents (Under Reservation)","2018Q2","Defilement of a boy or girl less than 17 years old","Number","55"
"Recorded crime incidents (Under Reservation)","2018Q2","Sexual offence involving mentally impaired person","Number","9"
"Recorded crime incidents (Under Reservation)","2018Q2","Aggravated sexual assault","Number","3"
"Recorded crime incidents (Under Reservation)","2018Q2","Sexual assault (not aggravated)","Number","473"
"Recorded crime incidents (Under Reservation)","2018Q2","Other sexual offences","Number","86"
"Recorded crime incidents (Under Reservation)","2018Q2","Attempts/threats to murder, assaults, harassments and related offences","Number","5265"
"Recorded crime incidents (Under Reservation)","2018Q2","Murder-attempt","Number","5"
"Recorded crime incidents (Under Reservation)","2018Q2","Threat to kill or cause serious harm","Number","268"
"Recorded crime incidents (Under Reservation)","2018Q2","Harassment and related offences","Number","411"
"Recorded crime incidents (Under Reservation)","2018Q2","Assault causing harm, poisoning","Number","1182"
"Recorded crime incidents (Under Reservation)","2018Q2","Other assault","Number","3399"
"Recorded crime incidents (Under Reservation)","2018Q2","Dangerous or negligent acts","Number","2273"
"Recorded crime incidents (Under Reservation)","2018Q2","Dangerous driving causing serious bodily harm","Number","8"
"Recorded crime incidents (Under Reservation)","2018Q2","Driving/in charge of a vehicle while over legal alcohol limit","Number","1897"
"Recorded crime incidents (Under Reservation)","2018Q2","Driving/in charge of a vehicle under the influence of drugs","Number","131"
"Recorded crime incidents (Under Reservation)","2018Q2","Endangerment with potential for serious harm/death","Number","63"
"Recorded crime incidents (Under Reservation)","2018Q2","Abandoning a child, child neglect and cruelty","Number","94"
"Recorded crime incidents (Under Reservation)","2018Q2","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q2","False alarm/interference with aircraft or air transport facilities","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q2","Endangering traffic offences","Number","80"
"Recorded crime incidents (Under Reservation)","2018Q2","Kidnapping and related offences","Number","33"
"Recorded crime incidents (Under Reservation)","2018Q2","False imprisonment","Number","22"
"Recorded crime incidents (Under Reservation)","2018Q2","Abduction of person under 16 years of age","Number","3"
"Recorded crime incidents (Under Reservation)","2018Q2","Human trafficking offences","Number","8"
"Recorded crime incidents (Under Reservation)","2018Q2","Robbery, extortion and hijacking offences","Number","553"
"Recorded crime incidents (Under Reservation)","2018Q2","Robbery of an establishment or institution","Number","134"
"Recorded crime incidents (Under Reservation)","2018Q2","Robbery of cash or goods in transit","Number","3"
"Recorded crime incidents (Under Reservation)","2018Q2","Robbery from the person","Number","371"
"Recorded crime incidents (Under Reservation)","2018Q2","Blackmail or extortion","Number","19"
"Recorded crime incidents (Under Reservation)","2018Q2","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","26"
"Recorded crime incidents (Under Reservation)","2018Q2","Burglary and related offences","Number","3995"
"Recorded crime incidents (Under Reservation)","2018Q2","Aggravated burglary","Number","64"
"Recorded crime incidents (Under Reservation)","2018Q2","Burglary (not aggravated)","Number","3852"
"Recorded crime incidents (Under Reservation)","2018Q2","Possession of an article (with intent to burgle, steal, demand)","Number","79"
"Recorded crime incidents (Under Reservation)","2018Q2","Theft and related offences","Number","16615"
"Recorded crime incidents (Under Reservation)","2018Q2","Theft/taking of vehicle and related offences","Number","1094"
"Recorded crime incidents (Under Reservation)","2018Q2","Theft from person","Number","1212"
"Recorded crime incidents (Under Reservation)","2018Q2","Theft from shop","Number","6072"
"Recorded crime incidents (Under Reservation)","2018Q2","Other thefts, handling stolen property","Number","8237"
"Recorded crime incidents (Under Reservation)","2018Q2","Fraud, deception and related offences","Number","1525"
"Recorded crime incidents (Under Reservation)","2018Q2","Controlled drug offences","Number","5340"
"Recorded crime incidents (Under Reservation)","2018Q2","Importation of drugs","Number","3"
"Recorded crime incidents (Under Reservation)","2018Q2","Cultivation or manufacture of drugs","Number","51"
"Recorded crime incidents (Under Reservation)","2018Q2","Possession of drugs for sale or supply","Number","1108"
"Recorded crime incidents (Under Reservation)","2018Q2","Possession of drugs for personal use","Number","4026"
"Recorded crime incidents (Under Reservation)","2018Q2","Other drug offences","Number","152"
"Recorded crime incidents (Under Reservation)","2018Q2","Weapons and Explosives Offences","Number","615"
"Recorded crime incidents (Under Reservation)","2018Q2","Explosives, chemical weapons offences","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q2","Discharging a firearm","Number","30"
"Recorded crime incidents (Under Reservation)","2018Q2","Possession of a firearm","Number","58"
"Recorded crime incidents (Under Reservation)","2018Q2","Offensive weapons offences (n.e.c.)","Number","521"
"Recorded crime incidents (Under Reservation)","2018Q2","Fireworks offences","Number","4"
"Recorded crime incidents (Under Reservation)","2018Q2","Damage to property and to the environment","Number","5170"
"Recorded crime incidents (Under Reservation)","2018Q2","Arson","Number","370"
"Recorded crime incidents (Under Reservation)","2018Q2","Criminal damage (not arson)","Number","4762"
"Recorded crime incidents (Under Reservation)","2018Q2","Litter offences","Number","38"
"Recorded crime incidents (Under Reservation)","2018Q2","Public order and other social code offences","Number","8207"
"Recorded crime incidents (Under Reservation)","2018Q2","Disorderly conduct","Number","6929"
"Recorded crime incidents (Under Reservation)","2018Q2","Trespass offences","Number","581"
"Recorded crime incidents (Under Reservation)","2018Q2","Liquor licensing offences","Number","140"
"Recorded crime incidents (Under Reservation)","2018Q2","Prostitution offences","Number","5"
"Recorded crime incidents (Under Reservation)","2018Q2","Regulated betting/money, collection/trading offences","Number","25"
"Recorded crime incidents (Under Reservation)","2018Q2","Social code offences (n.e.c.)","Number","527"
"Recorded crime incidents (Under Reservation)","2018Q2","Offences against government, justice procedures and organisation of crime","Number","4358"
"Recorded crime incidents (Under Reservation)","2018Q2","Offences against government and its agents","Number","46"
"Recorded crime incidents (Under Reservation)","2018Q2","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q2","Perverting the course of justice","Number","7"
"Recorded crime incidents (Under Reservation)","2018Q2","Offences while in custody, breach of court orders","Number","4303"
"Recorded crime incidents (Under Reservation)","2018Q3","Homicide offences","Number","21"
"Recorded crime incidents (Under Reservation)","2018Q3","Murder","Number","7"
"Recorded crime incidents (Under Reservation)","2018Q3","Manslaughter","Number","5"
"Recorded crime incidents (Under Reservation)","2018Q3","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q3","Dangerous driving leading to death","Number","9"
"Recorded crime incidents (Under Reservation)","2018Q3","Sexual offences","Number","784"
"Recorded crime incidents (Under Reservation)","2018Q3","Rape of a male or female","Number","190"
"Recorded crime incidents (Under Reservation)","2018Q3","Defilement of a boy or girl less than 17 years old","Number","29"
"Recorded crime incidents (Under Reservation)","2018Q3","Sexual offence involving mentally impaired person","Number","18"
"Recorded crime incidents (Under Reservation)","2018Q3","Aggravated sexual assault","Number","5"
"Recorded crime incidents (Under Reservation)","2018Q3","Sexual assault (not aggravated)","Number","436"
"Recorded crime incidents (Under Reservation)","2018Q3","Other sexual offences","Number","106"
"Recorded crime incidents (Under Reservation)","2018Q3","Attempts/threats to murder, assaults, harassments and related offences","Number","5036"
"Recorded crime incidents (Under Reservation)","2018Q3","Murder-attempt","Number","3"
"Recorded crime incidents (Under Reservation)","2018Q3","Threat to kill or cause serious harm","Number","280"
"Recorded crime incidents (Under Reservation)","2018Q3","Harassment and related offences","Number","410"
"Recorded crime incidents (Under Reservation)","2018Q3","Assault causing harm, poisoning","Number","1186"
"Recorded crime incidents (Under Reservation)","2018Q3","Other assault","Number","3157"
"Recorded crime incidents (Under Reservation)","2018Q3","Dangerous or negligent acts","Number","2196"
"Recorded crime incidents (Under Reservation)","2018Q3","Dangerous driving causing serious bodily harm","Number","7"
"Recorded crime incidents (Under Reservation)","2018Q3","Driving/in charge of a vehicle while over legal alcohol limit","Number","1809"
"Recorded crime incidents (Under Reservation)","2018Q3","Driving/in charge of a vehicle under the influence of drugs","Number","119"
"Recorded crime incidents (Under Reservation)","2018Q3","Endangerment with potential for serious harm/death","Number","58"
"Recorded crime incidents (Under Reservation)","2018Q3","Abandoning a child, child neglect and cruelty","Number","87"
"Recorded crime incidents (Under Reservation)","2018Q3","Unseaworthy/dangerous use of boat or ship","Number","1"
"Recorded crime incidents (Under Reservation)","2018Q3","False alarm/interference with aircraft or air transport facilities","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q3","Endangering traffic offences","Number","115"
"Recorded crime incidents (Under Reservation)","2018Q3","Kidnapping and related offences","Number","33"
"Recorded crime incidents (Under Reservation)","2018Q3","False imprisonment","Number","20"
"Recorded crime incidents (Under Reservation)","2018Q3","Abduction of person under 16 years of age","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q3","Human trafficking offences","Number","11"
"Recorded crime incidents (Under Reservation)","2018Q3","Robbery, extortion and hijacking offences","Number","628"
"Recorded crime incidents (Under Reservation)","2018Q3","Robbery of an establishment or institution","Number","126"
"Recorded crime incidents (Under Reservation)","2018Q3","Robbery of cash or goods in transit","Number","6"
"Recorded crime incidents (Under Reservation)","2018Q3","Robbery from the person","Number","407"
"Recorded crime incidents (Under Reservation)","2018Q3","Blackmail or extortion","Number","54"
"Recorded crime incidents (Under Reservation)","2018Q3","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","35"
"Recorded crime incidents (Under Reservation)","2018Q3","Burglary and related offences","Number","4034"
"Recorded crime incidents (Under Reservation)","2018Q3","Aggravated burglary","Number","61"
"Recorded crime incidents (Under Reservation)","2018Q3","Burglary (not aggravated)","Number","3892"
"Recorded crime incidents (Under Reservation)","2018Q3","Possession of an article (with intent to burgle, steal, demand)","Number","81"
"Recorded crime incidents (Under Reservation)","2018Q3","Theft and related offences","Number","16884"
"Recorded crime incidents (Under Reservation)","2018Q3","Theft/taking of vehicle and related offences","Number","1110"
"Recorded crime incidents (Under Reservation)","2018Q3","Theft from person","Number","984"
"Recorded crime incidents (Under Reservation)","2018Q3","Theft from shop","Number","6010"
"Recorded crime incidents (Under Reservation)","2018Q3","Other thefts, handling stolen property","Number","8780"
"Recorded crime incidents (Under Reservation)","2018Q3","Fraud, deception and related offences","Number","1568"
"Recorded crime incidents (Under Reservation)","2018Q3","Controlled drug offences","Number","5086"
"Recorded crime incidents (Under Reservation)","2018Q3","Importation of drugs","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q3","Cultivation or manufacture of drugs","Number","60"
"Recorded crime incidents (Under Reservation)","2018Q3","Possession of drugs for sale or supply","Number","1080"
"Recorded crime incidents (Under Reservation)","2018Q3","Possession of drugs for personal use","Number","3793"
"Recorded crime incidents (Under Reservation)","2018Q3","Other drug offences","Number","151"
"Recorded crime incidents (Under Reservation)","2018Q3","Weapons and Explosives Offences","Number","612"
"Recorded crime incidents (Under Reservation)","2018Q3","Explosives, chemical weapons offences","Number","7"
"Recorded crime incidents (Under Reservation)","2018Q3","Discharging a firearm","Number","27"
"Recorded crime incidents (Under Reservation)","2018Q3","Possession of a firearm","Number","47"
"Recorded crime incidents (Under Reservation)","2018Q3","Offensive weapons offences (n.e.c.)","Number","508"
"Recorded crime incidents (Under Reservation)","2018Q3","Fireworks offences","Number","23"
"Recorded crime incidents (Under Reservation)","2018Q3","Damage to property and to the environment","Number","5266"
"Recorded crime incidents (Under Reservation)","2018Q3","Arson","Number","445"
"Recorded crime incidents (Under Reservation)","2018Q3","Criminal damage (not arson)","Number","4769"
"Recorded crime incidents (Under Reservation)","2018Q3","Litter offences","Number","52"
"Recorded crime incidents (Under Reservation)","2018Q3","Public order and other social code offences","Number","8456"
"Recorded crime incidents (Under Reservation)","2018Q3","Disorderly conduct","Number","7230"
"Recorded crime incidents (Under Reservation)","2018Q3","Trespass offences","Number","567"
"Recorded crime incidents (Under Reservation)","2018Q3","Liquor licensing offences","Number","137"
"Recorded crime incidents (Under Reservation)","2018Q3","Prostitution offences","Number","8"
"Recorded crime incidents (Under Reservation)","2018Q3","Regulated betting/money, collection/trading offences","Number","56"
"Recorded crime incidents (Under Reservation)","2018Q3","Social code offences (n.e.c.)","Number","458"
"Recorded crime incidents (Under Reservation)","2018Q3","Offences against government, justice procedures and organisation of crime","Number","3856"
"Recorded crime incidents (Under Reservation)","2018Q3","Offences against government and its agents","Number","36"
"Recorded crime incidents (Under Reservation)","2018Q3","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q3","Perverting the course of justice","Number","5"
"Recorded crime incidents (Under Reservation)","2018Q3","Offences while in custody, breach of court orders","Number","3813"
"Recorded crime incidents (Under Reservation)","2018Q4","Homicide offences","Number","20"
"Recorded crime incidents (Under Reservation)","2018Q4","Murder","Number","9"
"Recorded crime incidents (Under Reservation)","2018Q4","Manslaughter","Number","2"
"Recorded crime incidents (Under Reservation)","2018Q4","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q4","Dangerous driving leading to death","Number","9"
"Recorded crime incidents (Under Reservation)","2018Q4","Sexual offences","Number","773"
"Recorded crime incidents (Under Reservation)","2018Q4","Rape of a male or female","Number","235"
"Recorded crime incidents (Under Reservation)","2018Q4","Defilement of a boy or girl less than 17 years old","Number","55"
"Recorded crime incidents (Under Reservation)","2018Q4","Sexual offence involving mentally impaired person","Number","6"
"Recorded crime incidents (Under Reservation)","2018Q4","Aggravated sexual assault","Number","1"
"Recorded crime incidents (Under Reservation)","2018Q4","Sexual assault (not aggravated)","Number","390"
"Recorded crime incidents (Under Reservation)","2018Q4","Other sexual offences","Number","86"
"Recorded crime incidents (Under Reservation)","2018Q4","Attempts/threats to murder, assaults, harassments and related offences","Number","5277"
"Recorded crime incidents (Under Reservation)","2018Q4","Murder-attempt","Number","4"
"Recorded crime incidents (Under Reservation)","2018Q4","Threat to kill or cause serious harm","Number","276"
"Recorded crime incidents (Under Reservation)","2018Q4","Harassment and related offences","Number","417"
"Recorded crime incidents (Under Reservation)","2018Q4","Assault causing harm, poisoning","Number","1189"
"Recorded crime incidents (Under Reservation)","2018Q4","Other assault","Number","3391"
"Recorded crime incidents (Under Reservation)","2018Q4","Dangerous or negligent acts","Number","2270"
"Recorded crime incidents (Under Reservation)","2018Q4","Dangerous driving causing serious bodily harm","Number","13"
"Recorded crime incidents (Under Reservation)","2018Q4","Driving/in charge of a vehicle while over legal alcohol limit","Number","1810"
"Recorded crime incidents (Under Reservation)","2018Q4","Driving/in charge of a vehicle under the influence of drugs","Number","199"
"Recorded crime incidents (Under Reservation)","2018Q4","Endangerment with potential for serious harm/death","Number","54"
"Recorded crime incidents (Under Reservation)","2018Q4","Abandoning a child, child neglect and cruelty","Number","83"
"Recorded crime incidents (Under Reservation)","2018Q4","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q4","False alarm/interference with aircraft or air transport facilities","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q4","Endangering traffic offences","Number","111"
"Recorded crime incidents (Under Reservation)","2018Q4","Kidnapping and related offences","Number","48"
"Recorded crime incidents (Under Reservation)","2018Q4","False imprisonment","Number","28"
"Recorded crime incidents (Under Reservation)","2018Q4","Abduction of person under 16 years of age","Number","10"
"Recorded crime incidents (Under Reservation)","2018Q4","Human trafficking offences","Number","10"
"Recorded crime incidents (Under Reservation)","2018Q4","Robbery, extortion and hijacking offences","Number","666"
"Recorded crime incidents (Under Reservation)","2018Q4","Robbery of an establishment or institution","Number","167"
"Recorded crime incidents (Under Reservation)","2018Q4","Robbery of cash or goods in transit","Number","10"
"Recorded crime incidents (Under Reservation)","2018Q4","Robbery from the person","Number","401"
"Recorded crime incidents (Under Reservation)","2018Q4","Blackmail or extortion","Number","45"
"Recorded crime incidents (Under Reservation)","2018Q4","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","43"
"Recorded crime incidents (Under Reservation)","2018Q4","Burglary and related offences","Number","4500"
"Recorded crime incidents (Under Reservation)","2018Q4","Aggravated burglary","Number","72"
"Recorded crime incidents (Under Reservation)","2018Q4","Burglary (not aggravated)","Number","4351"
"Recorded crime incidents (Under Reservation)","2018Q4","Possession of an article (with intent to burgle, steal, demand)","Number","77"
"Recorded crime incidents (Under Reservation)","2018Q4","Theft and related offences","Number","17571"
"Recorded crime incidents (Under Reservation)","2018Q4","Theft/taking of vehicle and related offences","Number","1301"
"Recorded crime incidents (Under Reservation)","2018Q4","Theft from person","Number","1222"
"Recorded crime incidents (Under Reservation)","2018Q4","Theft from shop","Number","6192"
"Recorded crime incidents (Under Reservation)","2018Q4","Other thefts, handling stolen property","Number","8856"
"Recorded crime incidents (Under Reservation)","2018Q4","Fraud, deception and related offences","Number","1872"
"Recorded crime incidents (Under Reservation)","2018Q4","Controlled drug offences","Number","4111"
"Recorded crime incidents (Under Reservation)","2018Q4","Importation of drugs","Number","6"
"Recorded crime incidents (Under Reservation)","2018Q4","Cultivation or manufacture of drugs","Number","53"
"Recorded crime incidents (Under Reservation)","2018Q4","Possession of drugs for sale or supply","Number","997"
"Recorded crime incidents (Under Reservation)","2018Q4","Possession of drugs for personal use","Number","2920"
"Recorded crime incidents (Under Reservation)","2018Q4","Other drug offences","Number","135"
"Recorded crime incidents (Under Reservation)","2018Q4","Weapons and Explosives Offences","Number","707"
"Recorded crime incidents (Under Reservation)","2018Q4","Explosives, chemical weapons offences","Number","22"
"Recorded crime incidents (Under Reservation)","2018Q4","Discharging a firearm","Number","17"
"Recorded crime incidents (Under Reservation)","2018Q4","Possession of a firearm","Number","44"
"Recorded crime incidents (Under Reservation)","2018Q4","Offensive weapons offences (n.e.c.)","Number","487"
"Recorded crime incidents (Under Reservation)","2018Q4","Fireworks offences","Number","137"
"Recorded crime incidents (Under Reservation)","2018Q4","Damage to property and to the environment","Number","5754"
"Recorded crime incidents (Under Reservation)","2018Q4","Arson","Number","482"
"Recorded crime incidents (Under Reservation)","2018Q4","Criminal damage (not arson)","Number","5242"
"Recorded crime incidents (Under Reservation)","2018Q4","Litter offences","Number","30"
"Recorded crime incidents (Under Reservation)","2018Q4","Public order and other social code offences","Number","8394"
"Recorded crime incidents (Under Reservation)","2018Q4","Disorderly conduct","Number","7061"
"Recorded crime incidents (Under Reservation)","2018Q4","Trespass offences","Number","541"
"Recorded crime incidents (Under Reservation)","2018Q4","Liquor licensing offences","Number","128"
"Recorded crime incidents (Under Reservation)","2018Q4","Prostitution offences","Number","13"
"Recorded crime incidents (Under Reservation)","2018Q4","Regulated betting/money, collection/trading offences","Number","42"
"Recorded crime incidents (Under Reservation)","2018Q4","Social code offences (n.e.c.)","Number","609"
"Recorded crime incidents (Under Reservation)","2018Q4","Offences against government, justice procedures and organisation of crime","Number","4277"
"Recorded crime incidents (Under Reservation)","2018Q4","Offences against government and its agents","Number","47"
"Recorded crime incidents (Under Reservation)","2018Q4","Organisation of crime and conspiracy to commit crime","Number","0"
"Recorded crime incidents (Under Reservation)","2018Q4","Perverting the course of justice","Number","6"
"Recorded crime incidents (Under Reservation)","2018Q4","Offences while in custody, breach of court orders","Number","4224"
"Recorded crime incidents (Under Reservation)","2019Q1","Homicide offences","Number","11"
"Recorded crime incidents (Under Reservation)","2019Q1","Murder","Number","7"
"Recorded crime incidents (Under Reservation)","2019Q1","Manslaughter","Number","1"
"Recorded crime incidents (Under Reservation)","2019Q1","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2019Q1","Dangerous driving leading to death","Number","3"
"Recorded crime incidents (Under Reservation)","2019Q1","Sexual offences","Number","930"
"Recorded crime incidents (Under Reservation)","2019Q1","Rape of a male or female","Number","215"
"Recorded crime incidents (Under Reservation)","2019Q1","Defilement of a boy or girl less than 17 years old","Number","54"
"Recorded crime incidents (Under Reservation)","2019Q1","Sexual offence involving mentally impaired person","Number","3"
"Recorded crime incidents (Under Reservation)","2019Q1","Aggravated sexual assault","Number","4"
"Recorded crime incidents (Under Reservation)","2019Q1","Sexual assault (not aggravated)","Number","468"
"Recorded crime incidents (Under Reservation)","2019Q1","Other sexual offences","Number","186"
"Recorded crime incidents (Under Reservation)","2019Q1","Attempts/threats to murder, assaults, harassments and related offences","Number","5223"
"Recorded crime incidents (Under Reservation)","2019Q1","Murder-attempt","Number","10"
"Recorded crime incidents (Under Reservation)","2019Q1","Threat to kill or cause serious harm","Number","321"
"Recorded crime incidents (Under Reservation)","2019Q1","Harassment and related offences","Number","441"
"Recorded crime incidents (Under Reservation)","2019Q1","Assault causing harm, poisoning","Number","1198"
"Recorded crime incidents (Under Reservation)","2019Q1","Other assault","Number","3253"
"Recorded crime incidents (Under Reservation)","2019Q1","Dangerous or negligent acts","Number","2098"
"Recorded crime incidents (Under Reservation)","2019Q1","Dangerous driving causing serious bodily harm","Number","13"
"Recorded crime incidents (Under Reservation)","2019Q1","Driving/in charge of a vehicle while over legal alcohol limit","Number","1601"
"Recorded crime incidents (Under Reservation)","2019Q1","Driving/in charge of a vehicle under the influence of drugs","Number","281"
